column-1,column-1 2,column-1 3
Gordon Hayward,31214295,20.7
Al Horford,28928709,20.21
Kyrie Irving,20099189,24.37
Marcus Smart,11660716,15.62
Jayson Tatum,6700800,15.13
Marcus Morris Sr.,5375000,14.28
Aron Baynes,5193600,14.06
Jaylen Brown,5169960,13.58
Terry Rozier,3050390,12.95
Guerschon Yabusele,2667600,12.26
Robert Williams III,1654440,11.15
Daniel Theis,1378242,10.62
Semi Ojeleye,1378242,8.35
Brad Wanamaker,838464,7.44
Greg Monroe,85458,7.12
P.J. Dozier (two-way),,
R.J. Hunter (two-way),,
